dataset,scope,variable,n,missing_n,missing_percent,structurally_missing
INSPIRE,first_fully_evaluable,age_years,32803,0,0.0,0
INSPIRE,main_stage2,age_years,31290,0,0.0,0
INSPIRE,first_fully_evaluable,male,32803,0,0.0,0
INSPIRE,main_stage2,male,31290,0,0.0,0
INSPIRE,first_fully_evaluable,bmi,32803,612,1.865683016797244,0
INSPIRE,main_stage2,bmi,31290,565,1.8056887184403962,0
INSPIRE,first_fully_evaluable,asa,32803,830,2.5302563789897268,0
INSPIRE,main_stage2,asa,31290,767,2.4512623841482903,0
INSPIRE,first_fully_evaluable,t0_map,32803,0,0.0,0
INSPIRE,main_stage2,t0_map,31290,0,0.0,0
INSPIRE,first_fully_evaluable,t0_map_squared,32803,0,0.0,0
INSPIRE,main_stage2,t0_map_squared,31290,0,0.0,0
INSPIRE,first_fully_evaluable,t0_arterial_source,32803,0,0.0,0
INSPIRE,main_stage2,t0_arterial_source,31290,0,0.0,0
INSPIRE,first_fully_evaluable,anesthesia_start_to_t0_min,32803,0,0.0,0
INSPIRE,main_stage2,anesthesia_start_to_t0_min,31290,0,0.0,0
INSPIRE,first_fully_evaluable,pre10_map_record_count,32803,0,0.0,0
INSPIRE,main_stage2,pre10_map_record_count,31290,0,0.0,0
INSPIRE,first_fully_evaluable,pre10_last_measurement_gap_min,32803,333,1.015151053257324,0
INSPIRE,main_stage2,pre10_last_measurement_gap_min,31290,295,0.9427932246724193,0
INSPIRE,first_fully_evaluable,pre10_last_map,32803,333,1.015151053257324,0
INSPIRE,main_stage2,pre10_last_map,31290,295,0.9427932246724193,0
INSPIRE,first_fully_evaluable,pre10_mean_map,32803,333,1.015151053257324,0
INSPIRE,main_stage2,pre10_mean_map,31290,295,0.9427932246724193,0
INSPIRE,first_fully_evaluable,pre10_map_ols_slope_per_min,32803,10770,32.83236289363778,0
INSPIRE,main_stage2,pre10_map_ols_slope_per_min,31290,9953,31.808884627676576,0
INSPIRE,first_fully_evaluable,recovered_by_5min,32803,0,0.0,0
INSPIRE,main_stage2,recovered_by_5min,31290,0,0.0,0
INSPIRE,first_fully_evaluable,early_auc65_0_5_mmhg_min,32803,0,0.0,0
INSPIRE,main_stage2,early_auc65_0_5_mmhg_min,31290,0,0.0,0
INSPIRE,first_fully_evaluable,early_min_map_0_5,32803,0,0.0,0
INSPIRE,main_stage2,early_min_map_0_5,31290,0,0.0,0
INSPIRE,first_fully_evaluable,early_mean_map_0_5,32803,0,0.0,0
INSPIRE,main_stage2,early_mean_map_0_5,31290,0,0.0,0
INSPIRE,first_fully_evaluable,early_map_record_count_0_5,32803,0,0.0,0
INSPIRE,main_stage2,early_map_record_count_0_5,31290,0,0.0,0
