dataset,scope,variable,n,missing_n,missing_percent,structurally_missing
MOVER,first_fully_evaluable,age_years,8595,0,0.0,0
MOVER,main_stage2,age_years,7177,0,0.0,0
MOVER,first_fully_evaluable,male,8595,0,0.0,0
MOVER,main_stage2,male,7177,0,0.0,0
MOVER,first_fully_evaluable,bmi,8595,1609,18.72018615474113,0
MOVER,main_stage2,bmi,7177,1409,19.632158283405325,0
MOVER,first_fully_evaluable,asa,8595,1,0.011634671320535195,0
MOVER,main_stage2,asa,7177,1,0.013933398355858993,0
MOVER,first_fully_evaluable,t0_map,8595,0,0.0,0
MOVER,main_stage2,t0_map,7177,0,0.0,0
MOVER,first_fully_evaluable,t0_map_squared,8595,0,0.0,0
MOVER,main_stage2,t0_map_squared,7177,0,0.0,0
MOVER,first_fully_evaluable,t0_arterial_source,8595,0,0.0,0
MOVER,main_stage2,t0_arterial_source,7177,0,0.0,0
MOVER,first_fully_evaluable,anesthesia_start_to_t0_min,8595,0,0.0,0
MOVER,main_stage2,anesthesia_start_to_t0_min,7177,0,0.0,0
MOVER,first_fully_evaluable,pre10_map_record_count,8595,0,0.0,0
MOVER,main_stage2,pre10_map_record_count,7177,0,0.0,0
MOVER,first_fully_evaluable,pre10_last_measurement_gap_min,8595,975,11.343804537521814,0
MOVER,main_stage2,pre10_last_measurement_gap_min,7177,364,5.071757001532673,0
MOVER,first_fully_evaluable,pre10_last_map,8595,975,11.343804537521814,0
MOVER,main_stage2,pre10_last_map,7177,364,5.071757001532673,0
MOVER,first_fully_evaluable,pre10_mean_map,8595,975,11.343804537521814,0
MOVER,main_stage2,pre10_mean_map,7177,364,5.071757001532673,0
MOVER,first_fully_evaluable,pre10_map_ols_slope_per_min,8595,2380,27.690517742873766,0
MOVER,main_stage2,pre10_map_ols_slope_per_min,7177,1548,21.568900654869722,0
MOVER,first_fully_evaluable,recovered_by_5min,8595,0,0.0,0
MOVER,main_stage2,recovered_by_5min,7177,0,0.0,0
MOVER,first_fully_evaluable,early_auc65_0_5_mmhg_min,8595,0,0.0,0
MOVER,main_stage2,early_auc65_0_5_mmhg_min,7177,0,0.0,0
MOVER,first_fully_evaluable,early_min_map_0_5,8595,0,0.0,0
MOVER,main_stage2,early_min_map_0_5,7177,0,0.0,0
MOVER,first_fully_evaluable,early_mean_map_0_5,8595,0,0.0,0
MOVER,main_stage2,early_mean_map_0_5,7177,0,0.0,0
MOVER,first_fully_evaluable,early_map_record_count_0_5,8595,0,0.0,0
MOVER,main_stage2,early_map_record_count_0_5,7177,0,0.0,0
