bmi_stratum,strategy,metric,estimate,ci95_lower,ci95_upper
missing,LM5_common18,auroc,0.734742266172926,0.7025510534969698,0.7673237980992359
missing,LM5_common18,auprc,0.4310471730393774,0.37791250597937,0.4917401531335297
missing,LM5_common18,brier,0.1516548742975283,0.1388939719629141,0.1655227493458208
missing,simple_early_mean_map,auroc,0.71069506279487,0.676819405335441,0.7426151584443296
missing,simple_early_mean_map,auprc,0.3780191672805275,0.3296269103123407,0.43382540843614
missing,simple_early_mean_map,brier,0.1534970076461194,0.1416577898022442,0.1661979858126889
observed,LM5_common18,auroc,0.7102204564929501,0.6928405683236091,0.7273076664554478
observed,LM5_common18,auprc,0.3854363732815127,0.3577652489919333,0.4160643197047012
observed,LM5_common18,brier,0.13973535704077,0.1334062842386084,0.1461227503950403
observed,simple_early_mean_map,auroc,0.7042114590636441,0.68695560668411,0.7214529438149856
observed,simple_early_mean_map,auprc,0.3482013030660381,0.3234787190170968,0.3774060239763837
observed,simple_early_mean_map,brier,0.1419360440302867,0.136011638103348,0.1479949435196584
