analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Stage-2 fixed threshold,0.1,strategy,LM5 common-18,Alert rate,0.602 (0.591 to 0.614),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,LM5 common-18,Sensitivity,0.819 (0.798 to 0.840),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,LM5 common-18,PPV,0.265 (0.252 to 0.278),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,LM5 common-18,"False-positive alerts per 1,000",442.8 (431.7 to 454.4),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,LM5 common-18,Alerts per event captured,3.78 (3.60 to 3.97),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,LM5 common-18,Net benefit,0.110 (0.101 to 0.119),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,Early mean MAP model,Alert rate,0.770 (0.760 to 0.780),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,Early mean MAP model,Sensitivity,0.915 (0.899 to 0.930),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,Early mean MAP model,PPV,0.231 (0.220 to 0.242),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,Early mean MAP model,"False-positive alerts per 1,000",592.2 (581.0 to 603.0),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,Early mean MAP model,Alerts per event captured,4.32 (4.13 to 4.55),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,Early mean MAP model,Net benefit,0.112 (0.103 to 0.122),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,strategy,Landmark MAP <65 rule,Alert rate,0.316 (0.305 to 0.327),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.1,strategy,Landmark MAP <65 rule,Sensitivity,0.569 (0.542 to 0.595),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.1,strategy,Landmark MAP <65 rule,PPV,0.351 (0.331 to 0.370),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.1,strategy,Landmark MAP <65 rule,"False-positive alerts per 1,000",205.1 (196.0 to 214.6),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.1,strategy,Landmark MAP <65 rule,Alerts per event captured,2.85 (2.70 to 3.02),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.1,strategy,Landmark MAP <65 rule,Net benefit,0.088 (0.081 to 0.096),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.1,paired difference,LM5 minus early mean MAP,Alert rate,-0.168 (-0.178 to -0.158),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,paired difference,LM5 minus early mean MAP,Sensitivity,-0.096 (-0.114 to -0.078),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,paired difference,LM5 minus early mean MAP,PPV,0.034 (0.028 to 0.039),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,paired difference,LM5 minus early mean MAP,"False-positive alerts per 1,000",-149.4 (-158.3 to -139.8),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,paired difference,LM5 minus early mean MAP,Alerts per event captured,-0.55 (-0.63 to -0.46),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,paired difference,LM5 minus early mean MAP,Net benefit,-0.002 (-0.006 to 0.001),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.1,paired difference,LM5 minus landmark MAP <65,Alert rate,0.286 (0.276 to 0.297),post-U0 exploratory current-state benchmark
