analysis_block,capacity_n_original,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Current-state matched alert workload,2268,,strategy,LM5 common-18,Events captured,795.000 (743.000 to 847.000),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,LM5 common-18,Sensitivity,0.569 (0.542 to 0.594),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,LM5 common-18,PPV,0.351 (0.331 to 0.369),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,LM5 common-18,"False-positive alerts per 1,000",205.2 (195.8 to 215.0),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,LM5 common-18,Alerts per event captured,2.85 (2.71 to 3.02),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Early mean MAP model,Events captured,769.000 (716.000 to 821.000),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Early mean MAP model,Sensitivity,0.550 (0.523 to 0.576),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Early mean MAP model,PPV,0.339 (0.320 to 0.358),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Early mean MAP model,"False-positive alerts per 1,000",208.9 (199.7 to 218.5),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Early mean MAP model,Alerts per event captured,2.95 (2.79 to 3.13),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Landmark MAP <65 rule,Events captured,796.000 (744.000 to 850.000),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Landmark MAP <65 rule,Sensitivity,0.569 (0.543 to 0.595),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Landmark MAP <65 rule,PPV,0.351 (0.331 to 0.371),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Landmark MAP <65 rule,"False-positive alerts per 1,000",205.1 (195.9 to 214.9),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,2268,,strategy,Landmark MAP <65 rule,Alerts per event captured,2.85 (2.70 to 3.02),post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
