analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + LM5,Alert rate,0.668 (0.658 to 0.678),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + LM5,Sensitivity,0.887 (0.874 to 0.900),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + LM5,PPV,0.348 (0.335 to 0.360),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + LM5,"False-positive alerts per 1,000",435.8 (425.5 to 445.5),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + LM5,Alerts per event captured,2.88 (2.78 to 2.98),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + LM5,Net benefit,0.184 (0.174 to 0.193),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + early mean MAP,Alert rate,0.808 (0.800 to 0.816),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + early mean MAP,Sensitivity,0.947 (0.938 to 0.956),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + early mean MAP,PPV,0.306 (0.296 to 0.318),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + early mean MAP,"False-positive alerts per 1,000",560.6 (549.7 to 570.2),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + early mean MAP,Alerts per event captured,3.26 (3.15 to 3.37),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + early mean MAP,Net benefit,0.185 (0.176 to 0.196),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + landmark MAP <65,Alert rate,0.429 (0.418 to 0.439),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + landmark MAP <65,Sensitivity,0.732 (0.714 to 0.750),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + landmark MAP <65,PPV,0.447 (0.431 to 0.463),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + landmark MAP <65,"False-positive alerts per 1,000",237.3 (228.2 to 246.3),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + landmark MAP <65,Alerts per event captured,2.24 (2.16 to 2.32),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,strategy,Severe early burden + landmark MAP <65,Net benefit,0.165 (0.156 to 0.174),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,paired difference,Severe early burden + LM5 minus early mean MAP,Alert rate,-0.140 (-0.149 to -0.133),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.1,paired difference,Severe early burden + LM5 minus early mean MAP,Sensitivity,-0.060 (-0.071 to -0.049),post-U0 exploratory full-workflow comparison
