bmi_stratum,analysis,strategy,metric,estimate_95CI,analysis_label
missing,cohort,,Participants / events,"1,409 / 298 (21.1% event rate)",post-U0 missingness transport sensitivity
observed,cohort,,Participants / events,"5,768 / 1,100 (19.1% event rate)",post-U0 missingness transport sensitivity
missing,performance,LM5 common-18,auroc,0.735 (0.703 to 0.767),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,LM5 common-18,auprc,0.431 (0.378 to 0.492),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,LM5 common-18,brier,0.152 (0.139 to 0.166),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,LM5 common-18,calibration_slope,1.069 (0.909 to 1.251),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,LM5 common-18,calibration_in_the_large,0.482 (0.350 to 0.619),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,LM5 common-18,observed_expected_ratio,1.424 (1.297 to 1.567),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,Early mean MAP model,auroc,0.711 (0.677 to 0.743),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,Early mean MAP model,auprc,0.378 (0.330 to 0.434),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,Early mean MAP model,brier,0.153 (0.142 to 0.166),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,Early mean MAP model,calibration_slope,1.018 (0.794 to 1.276),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,Early mean MAP model,calibration_in_the_large,0.235 (0.105 to 0.368),post-U0 frozen-probability sensitivity; raw BMI availability
missing,performance,Early mean MAP model,observed_expected_ratio,1.192 (1.082 to 1.311),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,LM5 common-18,Net benefit,0.098 (0.079 to 0.118),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,LM5 common-18,Alert rate,0.320 (0.295 to 0.346),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,LM5 common-18,Sensitivity,0.621 (0.567 to 0.678),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,LM5 common-18,PPV,0.410 (0.365 to 0.458),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,Early mean MAP model,Net benefit,0.097 (0.075 to 0.119),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,Early mean MAP model,Alert rate,0.581 (0.556 to 0.608),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,Early mean MAP model,Sensitivity,0.802 (0.756 to 0.847),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,Early mean MAP model,PPV,0.292 (0.260 to 0.324),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,Landmark MAP <65 rule,Net benefit,0.090 (0.073 to 0.109),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,Landmark MAP <65 rule,Alert rate,0.292 (0.268 to 0.317),post-U0 frozen-probability sensitivity; raw BMI availability
missing,threshold_utility,Landmark MAP <65 rule,Sensitivity,0.570 (0.515 to 0.630),post-U0 frozen-probability sensitivity; raw BMI availability
