analysis_id,analysis_status,n,events,event_rate,row_type,model_or_contrast,metric,threshold,estimate_95CI
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,LM5 common-18,auroc,,0.714 (0.698 to 0.729)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,LM5 common-18,auprc,,0.391 (0.365 to 0.418)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,LM5 common-18,brier,,0.142 (0.136 to 0.148)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,LM5 common-18,net_benefit,0.15,0.079 (0.071 to 0.087)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,Early mean MAP model,auroc,,0.705 (0.689 to 0.720)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,Early mean MAP model,auprc,,0.352 (0.330 to 0.377)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,Early mean MAP model,brier,,0.144 (0.139 to 0.149)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,strategy,Early mean MAP model,net_benefit,0.15,0.080 (0.071 to 0.090)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,paired difference,LM5 minus early mean MAP,auroc,,0.009 (0.001 to 0.017)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,paired difference,LM5 minus early mean MAP,auprc,,0.038 (0.022 to 0.055)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,paired difference,LM5 minus early mean MAP,brier,,-0.002 (-0.004 to -0.001)
locked_u0_composite,locked U0; original frozen patient-bootstrap intervals,7177,1398,0.1947889090149087,paired difference,LM5 minus early mean MAP,net_benefit,0.15,-0.001 (-0.006 to 0.004)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,LM5 common-18,auroc,,0.760 (0.745 to 0.775)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,LM5 common-18,auprc,,0.402 (0.373 to 0.430)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,LM5 common-18,brier,,0.118 (0.113 to 0.123)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,LM5 common-18,net_benefit,0.15,0.074 (0.065 to 0.082)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,Early mean MAP model,auroc,,0.739 (0.724 to 0.755)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,Early mean MAP model,auprc,,0.346 (0.321 to 0.372)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,Early mean MAP model,brier,,0.124 (0.119 to 0.129)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,strategy,Early mean MAP model,net_benefit,0.15,0.057 (0.047 to 0.066)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,paired difference,LM5 minus early mean MAP,auroc,,0.021 (0.013 to 0.029)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,paired difference,LM5 minus early mean MAP,auprc,,0.056 (0.038 to 0.075)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,paired difference,LM5 minus early mean MAP,brier,,-0.006 (-0.007 to -0.005)
landmark_consistent_alternative_composite,post-U0 exploratory landmark-definition sensitivity,7177,1176,0.1638567646649017,paired difference,LM5 minus early mean MAP,net_benefit,0.15,0.017 (0.013 to 0.021)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,LM5 common-18,auroc,,0.696 (0.674 to 0.717)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,LM5 common-18,auprc,,0.228 (0.199 to 0.261)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,LM5 common-18,brier,,0.087 (0.083 to 0.091)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,LM5 common-18,net_benefit,0.15,0.001 (-0.005 to 0.007)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,Early mean MAP model,auroc,,0.675 (0.653 to 0.697)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,Early mean MAP model,auprc,,0.184 (0.162 to 0.209)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,Early mean MAP model,brier,,0.091 (0.087 to 0.095)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,strategy,Early mean MAP model,net_benefit,0.15,-0.024 (-0.030 to -0.017)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,paired difference,LM5 minus early mean MAP,auroc,,0.020 (0.008 to 0.032)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,paired difference,LM5 minus early mean MAP,auprc,,0.044 (0.025 to 0.066)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,paired difference,LM5 minus early mean MAP,brier,,-0.004 (-0.006 to -0.003)
action_buffer_auc_ge75,post-U0 exploratory action-buffer sensitivity,7069,642,0.0908190691752723,paired difference,LM5 minus early mean MAP,net_benefit,0.15,0.025 (0.021 to 0.028)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,LM5 common-18,auroc,,0.692 (0.673 to 0.710)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,LM5 common-18,auprc,,0.278 (0.250 to 0.309)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,LM5 common-18,brier,,0.105 (0.100 to 0.110)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,LM5 common-18,net_benefit,0.15,0.024 (0.017 to 0.031)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,Early mean MAP model,auroc,,0.679 (0.661 to 0.697)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,Early mean MAP model,auprc,,0.238 (0.215 to 0.263)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,Early mean MAP model,brier,,0.109 (0.104 to 0.113)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,strategy,Early mean MAP model,net_benefit,0.15,0.008 (0.001 to 0.016)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,paired difference,LM5 minus early mean MAP,auroc,,0.013 (0.003 to 0.024)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,paired difference,LM5 minus early mean MAP,auprc,,0.040 (0.023 to 0.059)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,paired difference,LM5 minus early mean MAP,brier,,-0.004 (-0.005 to -0.002)
action_buffer_duration_normalised_auc_ge60,post-U0 exploratory normalized-burden sensitivity,7069,879,0.1243457348988541,paired difference,LM5 minus early mean MAP,net_benefit,0.15,0.016 (0.012 to 0.020)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,LM5 common-18,auroc,,0.627 (0.604 to 0.649)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,LM5 common-18,auprc,,0.181 (0.162 to 0.205)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,LM5 common-18,brier,,0.106 (0.099 to 0.113)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,LM5 common-18,net_benefit,0.15,0.007 (0.003 to 0.011)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,Early mean MAP model,auroc,,0.628 (0.604 to 0.652)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,Early mean MAP model,auprc,,0.188 (0.169 to 0.214)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,Early mean MAP model,brier,,0.106 (0.100 to 0.113)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,strategy,Early mean MAP model,net_benefit,0.15,0.008 (0.000 to 0.016)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,paired difference,LM5 minus early mean MAP,auroc,,-0.001 (-0.019 to 0.018)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,paired difference,LM5 minus early mean MAP,auprc,,-0.008 (-0.028 to 0.012)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,paired difference,LM5 minus early mean MAP,brier,,-0.000 (-0.002 to 0.001)
locked_u0_recovered_at_landmark,post-U0 exploratory clinical-status stratum,4909,602,0.1226319005907516,paired difference,LM5 minus early mean MAP,net_benefit,0.15,-0.002 (-0.009 to 0.006)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,LM5 common-18,auroc,,0.612 (0.587 to 0.636)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,LM5 common-18,auprc,,0.479 (0.444 to 0.515)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,LM5 common-18,brier,,0.220 (0.212 to 0.228)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,LM5 common-18,net_benefit,0.15,0.236 (0.212 to 0.258)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,Early mean MAP model,auroc,,0.582 (0.557 to 0.607)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,Early mean MAP model,auprc,,0.423 (0.393 to 0.456)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,Early mean MAP model,brier,,0.227 (0.218 to 0.234)
locked_u0_unrecovered_at_landmark,post-U0 exploratory clinical-status stratum,2268,796,0.3509700176366843,strategy,Early mean MAP model,net_benefit,0.15,0.236 (0.213 to 0.259)
