section,analysis,metric,estimate,context,analysis_label
cohort,target and evaluability,"Pre-outcome-eligible target, n",7682,post-landmark outcome availability,inherited outcome-observability sensitivity; different target population; does not replace locked U0
cohort,target and evaluability,"Outcome observed, n",7319,post-landmark outcome availability,inherited outcome-observability sensitivity; different target population; does not replace locked U0
cohort,target and evaluability,"Outcome unobserved, n",363,post-landmark outcome availability,inherited outcome-observability sensitivity; different target population; does not replace locked U0
cohort,target and evaluability,"Outcome unobserved, %",4.725331944806044,post-landmark outcome availability,inherited outcome-observability sensitivity; different target population; does not replace locked U0
cohort,target and evaluability,>20% protocol gate triggered,False,post-landmark outcome availability,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,Event rate,0.1949719907091132,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,AUROC,0.710997321085781,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,AUPRC,0.3863418254316924,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,Brier score,0.1425440593273949,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,Calibration-in-the-large,0.2149511835887096,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,Calibration slope,0.8793902827108098,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,Observed/expected ratio,1.167190884330367,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,10-bin patient-level absolute calibration deviation,0.0367746324412455,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,unweighted complete outcome,Effective sample size,7319.0,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,Event rate,0.1953261918549138,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,AUROC,0.7109796312633366,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,AUPRC,0.3868582659364386,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,Brier score,0.1427311513652786,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,Calibration-in-the-large,0.2155383490025997,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,Calibration slope,0.8793112765877381,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,Observed/expected ratio,1.1675943986621338,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,10-bin patient-level absolute calibration deviation,0.0369043203621182,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
performance,IPW 1st-99th truncated,Effective sample size,7318.351341095484,point estimate; no bootstrap interval in inherited file,inherited outcome-observability sensitivity; different target population; does not replace locked U0
selection,selection model,Selection-model AUROC,0.6513741923075042,observed versus unobserved outcome,inherited outcome-observability sensitivity; different target population; does not replace locked U0
selection,weights,Weight range after truncation,1.0323 to 1.0869,first and 99th percentiles,inherited outcome-observability sensitivity; different target population; does not replace locked U0
selection,covariate balance,Maximum absolute unweighted SMD,0.0230928540581282,18 frozen predictors,inherited outcome-observability sensitivity; different target population; does not replace locked U0
selection,covariate balance,Maximum absolute IPW SMD,0.0165902890581138,18 frozen predictors,inherited outcome-observability sensitivity; different target population; does not replace locked U0
target overlap,locked U0 overlap,"Shared patients, n",7177,sensitivity target versus locked U0,inherited outcome-observability sensitivity; different target population; does not replace locked U0
target overlap,locked U0 overlap,"Shared patients with same case, n",7143,34 shared patients used a different case,inherited outcome-observability sensitivity; different target population; does not replace locked U0
